Time,Lane,Delay_s,Queue_m,Saturation
1500.0,156084447#2.35_2,29.43,2.8,0.8
1500.0,156084447#2.35_2,30.0,0.0,0.0
1500.0,156084447#2.35_2,30.0,0.0,0.0
1500.0,537517150#2_0,300.0,847.7,0.0
1500.0,537517150#2_1,300.0,673.4,0.0
1500.0,537517150#2_2,300.0,93.8,0.0
1500.0,537517150#2_2,300.0,93.8,0.0
1500.0,156084437#2.76_0,300.0,240.45,2.1
1500.0,156084437#2.76_0,300.0,240.45,0.0
1500.0,156084437#2.76_1,300.0,297.85,1.2
1500.0,156084437#2.76_2,31.25,2.1,0.6
1500.0,156084437#2.76_2,30.0,0.0,0.0
1500.0,-156084515#1.105_0,19.2,0.0,0.0
1500.0,-156084515#1.105_0,30.0,0.0,0.0
1500.0,-156084515#1.105_0,30.0,0.0,0.0
1500.0,-156084515#1.105_0,30.0,0.0,0.0
1560.0,156084447#2.35_0,300.0,380.45,1.8
1560.0,156084447#2.35_0,300.0,380.45,0.0
1560.0,156084447#2.35_1,300.0,382.55,1.24
1560.0,156084447#2.35_2,51.43,7.0,0.41
1560.0,156084447#2.35_2,300.0,7.0,0.0
1560.0,156084447#2.35_2,300.0,7.0,0.0
1560.0,537517150#2_0,300.0,889.7,5.4
1560.0,537517150#2_1,300.0,718.55,9.29
1560.0,537517150#2_2,300.0,100.1,2.32
1560.0,537517150#2_2,300.0,100.1,0.0
1560.0,156084437#2.76_0,300.0,261.45,2.7
1560.0,156084437#2.76_0,300.0,261.45,0.0
1560.0,156084437#2.76_1,300.0,308.7,3.72
1560.0,156084437#2.76_2,103.39,14.0,1.24
1560.0,156084437#2.76_2,300.0,14.0,0.0
1560.0,-156084515#1.105_0,36.67,11.55,0.6
1560.0,-156084515#1.105_0,300.0,11.55,0.0
1560.0,-156084515#1.105_0,300.0,11.55,0.0
1560.0,-156084515#1.105_0,300.0,11.55,0.0
1620.0,156084447#2.35_0,300.0,366.45,1.2
1620.0,156084447#2.35_0,300.0,366.45,0.0
1620.0,156084447#2.35_1,300.0,396.55,60000.0
1620.0,156084447#2.35_2,300.0,14.0,30000.0
1620.0,156084447#2.35_2,300.0,14.0,0.0
1620.0,156084447#2.35_2,300.0,14.0,0.0
1620.0,537517150#2_0,300.0,1029.7,13.8
1620.0,537517150#2_1,300.0,830.55,11.4
1620.0,537517150#2_2,300.0,142.1,3.6
1620.0,537517150#2_2,300.0,142.1,0.0
1620.0,156084437#2.76_0,300.0,275.45,2.4
1620.0,156084437#2.76_0,300.0,275.45,0.0
1620.0,156084437#2.76_1,300.0,343.7,150000.0
1620.0,156084437#2.76_2,300.0,28.0,60000.0
1620.0,156084437#2.76_2,300.0,28.0,0.0
1620.0,-156084515#1.105_0,66.1,25.67,2.1
1620.0,-156084515#1.105_0,300.0,25.55,0.0
1620.0,-156084515#1.105_0,300.0,25.55,0.0
1620.0,-156084515#1.105_0,300.0,25.55,0.0
1680.0,156084447#2.35_0,300.0,366.45,1.8
1680.0,156084447#2.35_0,300.0,366.45,0.0
1680.0,156084447#2.35_1,300.0,424.55,120000.0
1680.0,156084447#2.35_2,300.0,35.0,90000.0
1680.0,156084447#2.35_2,300.0,35.0,0.0
1680.0,156084447#2.35_2,300.0,35.0,0.0
1680.0,537517150#2_0,300.0,1106.7,8.4
1680.0,537517150#2_1,300.0,879.55,6.0
1680.0,537517150#2_2,300.0,142.1,1.8
